project_id,project_name,project_type,total_value,cofinancing_value,regions,beneficiary_name,currency,country,years
182,Bezpieczniej na drogach - nowoczesny sprzęt dla polskiej Policji,['transport'],102653609.7,87255567.5,['projekt ogólnopolski'],KOMENDA GŁÓWNA POLICJI,PLN,Poland,2014-2020
183,Rewitalizacja linii kolejowej nr 357 na odcinku Drzymałowo - Wolsztyn,['transport'],140294013.5,87243209.86,['wielkopolskie'],PKP POLSKIE LINIE KOLEJOWE S.A.,PLN,Poland,2014-2020
184,Obwodnica Oświęcimia od ronda ul. Chemików i ul. Fabrycznej w Oświęcimiu do DW nr 933 w m. Bobrek,['transport'],104328980.8,86951926.15,['małopolskie'],WOJEWÓDZTWO MAŁOPOLSKIE,PLN,Poland,2014-2020
185,Gospodarka wodno-ściekowa w Krakowie – Etap V,['environmental'],174150951.6,85480483.27,['małopolskie'],MIEJSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI W KRAKOWIE SPÓŁKA AKCYJNA,PLN,Poland,2014-2020
186,Zmniejszenie negatywnego wpływu transportu publicznego na środowisko naturalne i poprawa jakości transportu poprzez zakup nowych ekologicznych autobusów niskopodłogowych,['transport'],139236922.5,85366403.13,['śląskie'],PRZEDSIĘBIORSTWO KOMUNIKACJI MIEJSKIEJ KATOWICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PLN,Poland,2014-2020
187,"Modernizacja wybranych dworców przy linii kolejowej nr 274 na odcinku Wrocław - Boguszów Gorce Zachód wraz z przedłużeniem przy linii 311, wybranych dworców przy linii kolejowej nr 282 wraz z dworcem na st. Malczyce położonym przy linii 275",['transport'],131358761.2,85303802.79,['dolnośląskie'],POLSKIE KOLEJE PAŃSTWOWE S.A.,PLN,Poland,2014-2020
188,"Przebudowa DW 791 na odcinku od DK1 do DK 78, etap I budowa obwodnicy miejscowości Myszków",['transport'],101352602.1,85187143.95,['śląskie'],WOJEWÓDZTWO ŚLĄSKIE,PLN,Poland,2014-2020
189,System zrównoważonego transportu miejskiego w Gorzowie Wlkp. - tabor tramwajowy i infrastruktura techniczna,['transport'],123672236.0,85108804.57,['lubuskie'],MIEJSKI ZAKŁAD KOMUNIKACJI W GORZOWIE WIELKOPOLSKIM SP. Z O.O.,PLN,Poland,2014-2020
190,Poprawa funkcjonowania systemu transportu publicznego oraz zastosowanie rozwiązań zwiększających bezpieczeństwo ruchu drogowego w obrębie stacji kolejowej Opole Wschód,['transport'],182611296.7,84609774.7,['opolskie'],MIASTO OPOLE,PLN,Poland,2014-2020
191,"Rozbudowa drogi wojewódzkiej nr 754 Ostrowiec Św. - Bałtów - Czekarzewice - granica województwa dł., ok. 29.3 km/ Rozbudowa DW 754 od km 1+912 do 29+269/",['transport'],105825743.0,84204637.35,['świętokrzyskie'],ŚWIĘTOKRZYSKI ZARZĄD DRÓG WOJEWÓDZKICH,PLN,Poland,2014-2020
192,"Modernizacja jazów odrzańskich na odcinku w zarządzie RZGW Wrocław, woj. opolskie (etap I)",['transport'],100057364.1,83656860.43,['opolskie'],PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE,PLN,Poland,2014-2020
193,Rozbudowa DK 52 (ul. Krakowskiej / ul. Żywieckiej) w Bielsku-Białej,['transport'],103580702.2,83625259.01,['śląskie'],MIASTO BIELSKO-BIAŁA,PLN,Poland,2014-2020
194,Budowa odcinka drogi od ul. Daszyńskiego do ul. Rybnickiej w Gliwicach - Zachodnia część obwodnicy miasta,['transport'],119987553.9,83392795.12,['śląskie'],MIASTO GLIWICE,PLN,Poland,2014-2020
